Distance_(pixels);Gray_Value;X_Fit:_Gaussian;Fit:_Gaussian
818;114.490;968.663;101.1843
819;115.487;969.847;101.1843
820;115.785;971.031;101.1843
821;114.530;972.215;101.1843
822;113.965;973.399;101.1842
823;113.722;974.584;101.1842
824;113.676;975.768;101.1842
825;114.342;976.952;101.1842
826;114.974;978.136;101.1842
827;115.273;979.320;101.1842
828;115.000;980.505;101.1842
829;115.000;981.689;101.1842
830;115.000;982.873;101.1842
831;114.725;984.057;101.1842
832;114.667;985.241;101.1842
833;114.667;986.425;101.1842
834;114.799;987.610;101.1842
835;115.131;988.794;101.1842
836;115.227;989.978;101.1842
837;115.000;991.162;101.1842
838;114.992;992.346;101.1842
839;114.636;993.531;101.1842
840;114.335;994.715;101.1842
841;114.333;995.899;101.1842
842;113.927;997.083;101.1842
843;113.667;998.267;101.1842
844;113.542;999.451;101.1842
845;113.333;1000.636;101.1842
846;113.333;1001.820;101.1842
847;113.410;1003.004;101.1842
848;113.755;1004.188;101.1842
849;114.357;1005.372;101.1842
850;114.949;1006.557;101.1842
851;114.165;1007.741;101.1842
852;113.448;1008.925;101.1842
853;113.376;1010.109;101.1842
854;114.000;1011.293;101.1842
855;114.440;1012.477;101.1842
856;115.000;1013.662;101.1842
857;115.000;1014.846;101.1842
858;114.762;1016.030;101.1842
859;113.549;1017.214;101.1842
860;113.370;1018.398;101.1842
861;114.194;1019.583;101.1842
862;114.333;1020.767;101.1842
863;113.292;1021.951;101.1842
864;112.667;1023.135;101.1842
865;112.617;1024.319;101.1842
866;112.591;1025.504;101.1842
867;112.750;1026.688;101.1842
868;113.000;1027.872;101.1842
869;113.055;1029.056;101.1842
870;113.956;1030.240;101.1842
871;114.000;1031.424;101.1842
872;113.747;1032.609;101.1842
873;113.667;1033.793;101.1842
874;113.667;1034.977;101.1842
875;113.548;1036.161;101.1842
876;113.165;1037.345;101.1842
877;113.000;1038.530;101.1842
878;113.000;1039.714;101.1842
879;113.000;1040.898;101.1842
880;112.767;1042.082;101.1842
881;111.609;1043.266;101.1842
882;111.333;1044.450;101.1842
883;111.780;1045.635;101.1842
884;112.000;1046.819;101.1842
885;111.925;1048.003;101.1842
886;111.986;1049.187;101.1842
887;112.000;1050.371;101.1842
888;112.000;1051.556;101.1842
889;112.000;1052.740;101.1842
890;112.000;1053.924;101.1842
891;112.000;1055.108;101.1842
892;112.000;1056.292;101.1842
893;112.000;1057.476;101.1842
894;111.491;1058.661;101.1842
895;111.333;1059.845;101.1842
896;111.333;1061.029;101.1842
897;111.333;1062.213;101.1842
898;111.333;1063.397;101.1842
899;111.333;1064.582;101.1842
900;111.333;1065.766;101.1842
901;111.333;1066.950;101.1842
902;111.333;1068.134;101.1842
903;111.333;1069.318;101.1842
904;111.333;1070.503;101.1842
905;111.333;1071.687;101.1842
906;111.333;1072.871;101.1842
907;111.333;1074.055;101.1842
908;111.333;1075.239;101.1842
909;111.333;1076.423;101.1842
